pack	lemma_slp1	surface	locus	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
subhashita-beginner	samAna	samāne			empty							
subhashita-beginner	samas	saṃbhavaḥ			empty							
subhashita-beginner	samudra	samudreṇa			empty							
subhashita-beginner	samunnam	samunnatim			empty							
subhashita-beginner	santa	santa			empty							
subhashita-beginner	sarvAtman	sarvātmanā			empty							
subhashita-beginner	sarva	sarve			empty							
subhashita-beginner	sat	satām			empty							
subhashita-beginner	sev	sevā			empty							
subhashita-beginner	sfj	sṛṣṭi			empty							
subhashita-beginner	siD	sidhyanti			empty							
subhashita-beginner	siMha	siṃhasya			empty							
subhashita-beginner	sma	sma			empty							
subhashita-beginner	snA	snā			empty							
subhashita-beginner	sparDA	spardhayā			empty							
subhashita-beginner	spfS	sparśane			empty							
subhashita-beginner	strI	strīṣu			empty							
subhashita-beginner	su	su			empty							
subhashita-beginner	suKam	sukham			empty							
subhashita-beginner	suKi	sukha			empty							
subhashita-beginner	sugfhin	sugṛhī			empty							
subhashita-beginner	suhfd	suhṛt			empty							
subhashita-beginner	sukfta	sukṛtena			empty							
subhashita-beginner	sukula	sukule			empty							
subhashita-beginner	sumanas	sumanasas			empty							
subhashita-beginner	sundara	sundaryā			empty							
subhashita-beginner	surUpa	surūpa			empty							
subhashita-beginner	svAdu	svādu			empty							
subhashita-beginner	sva	sva			empty							
subhashita-beginner	svaDarma	svadharme			empty							
subhashita-beginner	svap	suptasya			empty							
subhashita-beginner	svasf	svasrā			empty							
subhashita-beginner	tA	te			empty							
subhashita-beginner	tAdfSa	tādṛśe			empty							
subhashita-beginner	tIrTa	tīrthe			empty							
subhashita-beginner	taTA	tathā			empty							
subhashita-beginner	tad	tasya			empty							
subhashita-beginner	tadvat	tadvat			empty							
subhashita-beginner	tam	tān			empty							
subhashita-beginner	tan	sanātha			empty							
subhashita-beginner	tap	taptā			empty							
subhashita-beginner	tasmAt	tasmāt			empty							
subhashita-beginner	tena	tena			empty							
subhashita-beginner	tfRa	tṛṇāya			empty							
subhashita-beginner	tfp	tṛptiḥ			empty							
subhashita-beginner	tftIyA	tṛtīyā			empty							
subhashita-beginner	til	tila			empty							
subhashita-beginner	tri	triṣu			empty							
subhashita-beginner	tripaTagA	tripathagām			empty							
subhashita-beginner	tu	tu			empty							
subhashita-beginner	tulA	tulayā			empty							
subhashita-beginner	tva	tvām			empty							
subhashita-beginner	tyaj	tyājyaḥ			empty							
subhashita-beginner	uB	ubhe			empty							
subhashita-beginner	udyam	udyamena			empty							
subhashita-beginner	ugra	madhuram			empty							
subhashita-beginner	upaskf	upakāriṣu			empty							
subhashita-beginner	utpad	utpadyante			empty							
subhashita-beginner	vA	vān			empty							
subhashita-beginner	vARi	vāṇī			empty							
subhashita-beginner	vac	vaktāraḥ			empty							
subhashita-beginner	vad	vada			empty							
subhashita-beginner	valg	valganti			empty							
subhashita-beginner	valgu	valgu			empty							
subhashita-beginner	vap	vāpi			empty							
subhashita-beginner	vapus	vapus			empty							
subhashita-beginner	vas	vāsas			empty							
subhashita-beginner	vf	vṛṇīte			empty							
subhashita-beginner	vfD	vṛddhe			empty							
subhashita-beginner	vfj	varjayet			empty							
subhashita-beginner	vfz	varṣati			empty							
subhashita-beginner	viBava	vibhave			empty							
subhashita-beginner	viS	viśanti			empty							
subhashita-beginner	viSiz	viśeṣatas			empty							
subhashita-beginner	vicitra	vicitrāṇi			empty							
subhashita-beginner	vid	vidyate			empty							
subhashita-beginner	vikali	vikale			empty							
subhashita-beginner	vikas	vikasanti			empty							
subhashita-beginner	vinI	vinayena			empty							
subhashita-beginner	vinaS	vinaśyataḥ			empty							
subhashita-beginner	vipAka	vipāke			empty							
subhashita-beginner	vipad	vipat			empty							
subhashita-beginner	viraYj	virāgaḥ			empty							
subhashita-beginner	vivft	vivartete			empty							
subhashita-beginner	vivic	viviktās			empty							
subhashita-beginner	vyADA	vyādhiḥ			empty							
subhashita-beginner	vyaD	vyādhinā			empty							
subhashita-beginner	vyasana	vyasane			empty							
subhashita-beginner	vyavahf	vyavahāreṣu			empty							
subhashita-beginner	yA	yāsyanti			empty							
subhashita-beginner	yAc	yācante			empty							
subhashita-beginner	yAdfSa	yādṛśe			empty							
subhashita-beginner	yaSas	yaśasi			empty							
subhashita-beginner	yaTA	yathā			empty							
subhashita-beginner	yaTAviDi	yathāvidhi			empty							
subhashita-beginner	yad	yasya			empty							
subhashita-beginner	yadi	yadi			empty							
subhashita-beginner	yat	yātā			empty							
subhashita-beginner	yatra	yatra			empty							
subhashita-beginner	yozit	yoṣiti			empty							
subhashita-beginner	yu	yo			empty							
subhashita-beginner	yuj	yojayet			empty							
subhashita-beginner	zawpada	ṣaṭpadās			empty							
subhashita-beginner	Брахман	Брахман			empty							
subhashita-beginner	Брихаспати	Брихаспати			empty							
subhashita-beginner	Защищайте	пьет			empty							
subhashita-beginner	Испрашивая	милостыня			empty							
subhashita-beginner	Канкану				empty							
subhashita-beginner	Капаты	нарочно			empty							
subhashita-beginner	Ману	сердце			empty							
subhashita-beginner	Митра	Митра			empty							
subhashita-beginner	Одного				empty							
subhashita-beginner	Омойте				empty							
subhashita-beginner	Парджанья	Парджанья			empty							
subhashita-beginner	Прекрасный, как юное облако				empty							
subhashita-beginner	Решений				empty							
subhashita-beginner	Сурупа	прекрасен			empty							
subhashita-beginner	Текущей тремя путями				empty							
subhashita-beginner	Улука				empty							
subhashita-beginner	Шива	шакалы			empty							
subhashita-beginner	безупречный	безупречный			empty							
subhashita-beginner	бесстрашие	безопасность			empty							
subhashita-beginner	благого деяния	благочестию			empty							
subhashita-beginner	благодарный				empty							
subhashita-beginner	блистал	сияет			empty							
subhashita-beginner	богатство	казной			empty							
subhashita-beginner	боги	божественного			empty							
subhashita-beginner	брахман	к брахманам			empty							
subhashita-beginner	бритый				empty							
subhashita-beginner	будет	будет			empty							
subhashita-beginner	будь	объясняют			empty							
subhashita-beginner	быстро	бежит			empty							
subhashita-beginner	в	вырубил			empty							
subhashita-beginner	в битве	число			empty							
subhashita-beginner	вдавил				empty							
subhashita-beginner	ведут	глаза			empty							
subhashita-beginner	ведь	ведь			empty							
subhashita-beginner	великий повелитель				empty							
subhashita-beginner	великого	великой			empty							
subhashita-beginner	вера	верой			empty							
subhashita-beginner	весы	весу			empty							
subhashita-beginner	взяв				empty							
subhashita-beginner	вкус	сок			empty							
subhashita-beginner	владыка земли				empty							
subhashita-beginner	власть	по воле			empty							
subhashita-beginner	влюбленный	влюбленный			empty							
subhashita-beginner	вместе	равный			empty							
subhashita-beginner	внезапно	внезапно			empty							
subhashita-beginner	воды	водою			empty							
subhashita-beginner	вождь				empty							
subhashita-beginner	вознесен				empty							
subhashita-beginner	возникает	возникают			empty							
subhashita-beginner	возрастает	старые			empty							
subhashita-beginner	воля	мыслью			empty							
subhashita-beginner	воплощенный				empty							
subhashita-beginner	ворона				empty							
subhashita-beginner	воспринимается	воспринимается			empty							
subhashita-beginner	восхвалять	достойных восхваления			empty							
subhashita-beginner	восход	нет			empty							
subhashita-beginner	вошел	входят			empty							
subhashita-beginner	все	полностью			empty							
subhashita-beginner	всей душою	всей душой			empty							
subhashita-beginner	вспахивая	привлекает			empty							
subhashita-beginner	выжимающего	хорошенько			empty							
subhashita-beginner	вырвав	здоровья			empty							
subhashita-beginner	высшее	высшей			empty							
subhashita-beginner	выше	преобладании			empty							
subhashita-beginner	где	где			empty							
subhashita-beginner	гибнет	ослабевали			empty							
subhashita-beginner	глазами	взором			empty							
subhashita-beginner	глупец	Бездумно			empty							
subhashita-beginner	гнев	в гневе			empty							
subhashita-beginner	говорила	во мне			empty							
subhashita-beginner	говорить	зовется			empty							
subhashita-beginner	говорят	говорящие			empty							
subhashita-beginner	гость	гость			empty							
subhashita-beginner	греет	раскается			empty							
subhashita-beginner	грех	злая			empty							
subhashita-beginner	грозный	грозного			empty							
subhashita-beginner	грязь	трясину			empty							
subhashita-beginner	гуны	гуны			empty							
subhashita-beginner	гуру	наставниками			empty							
subhashita-beginner	да будет сделано	принимается за дела			empty							
subhashita-beginner	дает	щедрости			empty							
subhashita-beginner	даже	сознания			empty							
subhashita-beginner	дай	наделяется			empty							
subhashita-beginner	дал	пусть позволит играть			empty							
subhashita-beginner	далеко	далеко			empty							
subhashita-beginner	дваждырожденный	дваждырожденному			empty							
subhashita-beginner	движется				empty							
subhashita-beginner	дева	дитя			empty							
subhashita-beginner	дед	деды			empty							
subhashita-beginner	действия	деятельность			empty							
subhashita-beginner	делает	поведение			empty							
subhashita-beginner	день	день			empty							
subhashita-beginner	деревенек	деревня			empty							
subhashita-beginner	джагати	в мире			empty							
subhashita-beginner	для опьянения	опьянение			empty							
subhashita-beginner	днем	днем			empty							
subhashita-beginner	дни	я			empty							
subhashita-beginner	добродетельный	добродетельный			empty							
subhashita-beginner	добродетельных	добродетельных			empty							
subhashita-beginner	доволен	дорог			empty							
subhashita-beginner	дождь	дождь			empty							
subhashita-beginner	доится	корова			empty							
subhashita-beginner	долго	долго			empty							
subhashita-beginner	домашний жрец	Главный жрец			empty							
subhashita-beginner	достигает	достигает			empty							
subhashita-beginner	достойным общения				empty							
subhashita-beginner	дочь	дочерью			empty							
subhashita-beginner	дробя				empty							
subhashita-beginner	дрова	лес			empty							
subhashita-beginner	другие	другие			empty							
subhashita-beginner	другой	других			empty							
subhashita-beginner	дружески	жестокой			empty							
subhashita-beginner	друзей	друг			empty							
subhashita-beginner	дхарма	по закону			empty							
subhashita-beginner	если	если			empty							
subhashita-beginner	естественный	Родившись вместе			empty							
subhashita-beginner	есть	есть			empty							
subhashita-beginner	жадный				empty							
subhashita-beginner	жалобно	жалкий			empty							
subhashita-beginner	же	же			empty							
subhashita-beginner	желание				empty							
subhashita-beginner	женщины	женщины			empty							
subhashita-beginner	жертвователя	желанное			empty							
subhashita-beginner	живет				empty							
subhashita-beginner	живого	мир			empty							
subhashita-beginner	жил	одежды			empty							
subhashita-beginner	за пределами	выше			empty							
subhashita-beginner	запах	ароматом			empty							
subhashita-beginner	заполнил	высший			empty							
subhashita-beginner	заревел	ревел			empty							
subhashita-beginner	зверей	олени			empty							
subhashita-beginner	здесь	здесь			empty							
subhashita-beginner	зло	вину			empty							
subhashita-beginner	знает	есть			empty							
subhashita-beginner	зная	знают			empty							
subhashita-beginner	и	и			empty							
subhashita-beginner	иглой				empty							
subhashita-beginner	идет	так			empty							
subhashita-beginner	идут	отправятся			empty							
subhashita-beginner	изменение	в конце			empty							
subhashita-beginner	или				empty							
subhashita-beginner	именно	именно			empty							
subhashita-beginner	имеющий корень	корень			empty							
subhashita-beginner	имя	имя			empty							
subhashita-beginner	иначе	иначе			empty							
subhashita-beginner	искусен	сведущая			empty							
subhashita-beginner	исполненные смысла	богат			empty							
subhashita-beginner	истцом				empty							
subhashita-beginner	к	к			empty							
subhashita-beginner	как	как			empty							
subhashita-beginner	какой	в таком			empty							
subhashita-beginner	камни				empty							
subhashita-beginner	капля	сок			empty							
subhashita-beginner	клопов				empty							
subhashita-beginner	копчика	подчиняющаяся			empty							
subhashita-beginner	коров	коровой			empty							
subhashita-beginner	коснулся	касаться			empty							
subhashita-beginner	кроме	кроме			empty							
subhashita-beginner	куккуры				empty							
subhashita-beginner	лев	льва			empty							
subhashita-beginner	лежит	ложе			empty							
subhashita-beginner	лекарство				empty							
subhashita-beginner	лень				empty							
subhashita-beginner	лепет				empty							
subhashita-beginner	лес	лес			empty							
subhashita-beginner	лето				empty							
subhashita-beginner	лицо	ртом			empty							
subhashita-beginner	лишается дыхания	их			empty							
subhashita-beginner	лишения				empty							
subhashita-beginner	ложно	ложно			empty							
subhashita-beginner	любящий	возлюбленный			empty							
subhashita-beginner	люди	люди			empty							
subhashita-beginner	малати	малати			empty							
subhashita-beginner	мало	мало			empty							
subhashita-beginner	мальчика				empty							
subhashita-beginner	мантры	мантры			empty							
subhashita-beginner	между	пространство			empty							
subhashita-beginner	меняются				empty							
subhashita-beginner	местожительство	покои			empty							
subhashita-beginner	милых	прекрасно			empty							
subhashita-beginner	минералами				empty							
subhashita-beginner	минует	избегать			empty							
subhashita-beginner	многочисленные				empty							
subhashita-beginner	могучий	твердая			empty							
subhashita-beginner	молоко	молоко			empty							
subhashita-beginner	мудрец	мудреца			empty							
subhashita-beginner	мудрость	мудрость			empty							
subhashita-beginner	мудрые	мудрые			empty							
subhashita-beginner	мудрый	мудрый			empty							
subhashita-beginner	мужа	муж			empty							
subhashita-beginner	мужей	мужей			empty							
subhashita-beginner	мутные	Дурные			empty							
subhashita-beginner	на	землю			empty							
subhashita-beginner	на помощь	извергая			empty							
subhashita-beginner	надежда	надежда			empty							
subhashita-beginner	наделенный	потоки			empty							
subhashita-beginner	наложил	бывает наделен			empty							
subhashita-beginner	направил	Шри			empty							
subhashita-beginner	наслаждайся	пища			empty							
subhashita-beginner	насытиться	удовлетворение			empty							
subhashita-beginner	находящаяся в стороне	равнодушный			empty							
subhashita-beginner	не	не			empty							
subhashita-beginner	не дожидаясь	не дожидаясь			empty							
subhashita-beginner	не удовлетворив				empty							
subhashita-beginner	не-артха	не-артха			empty							
subhashita-beginner	небесные	небесные			empty							
subhashita-beginner	неблагодарный				empty							
subhashita-beginner	невечен	невечно			empty							
subhashita-beginner	нежноголосая	голоса			empty							
subhashita-beginner	немые	немые			empty							
subhashita-beginner	необычно				empty							
subhashita-beginner	неодолимый				empty							
subhashita-beginner	неподвижное	неподвижное			empty							
subhashita-beginner	неприятное	неприятное			empty							
subhashita-beginner	несчастье				empty							
subhashita-beginner	неусыпной				empty							
subhashita-beginner	никогда	никогда			empty							
subhashita-beginner	нищие				empty							
subhashita-beginner	ногами	след			empty							
subhashita-beginner	нравится	привыкший			empty							
subhashita-beginner	о				empty							
subhashita-beginner	оба	оба			empty							
subhashita-beginner	обидчики				empty							
subhashita-beginner	обитель	обитель			empty							
subhashita-beginner	облака	облако			empty							
subhashita-beginner	обретает	обретает			empty							
subhashita-beginner	объятие				empty							
subhashita-beginner	ограничение				empty							
subhashita-beginner	окажу помощь				empty							
subhashita-beginner	океан	с океаном			empty							
subhashita-beginner	окруженный	выбирает			empty							
subhashita-beginner	окружив	принятие			empty							
subhashita-beginner	омывшись	омывшись			empty							
subhashita-beginner	он	его			empty							
subhashita-beginner	оружие	оружие			empty							
subhashita-beginner	освобождается				empty							
subhashita-beginner	освобожденный	освобожденное			empty							
subhashita-beginner	осеней	осенью			empty							
subhashita-beginner	оставив				empty							
subhashita-beginner	отврати	кто			empty							
subhashita-beginner	отдай	дает			empty							
subhashita-beginner	отец	отец			empty							
subhashita-beginner	относятся	вращаются			empty							
subhashita-beginner	отправился	ушел			empty							
subhashita-beginner	отряхнулся	сверкает			empty							
subhashita-beginner	охраняемый	охраняемый			empty							
subhashita-beginner	павлинов				empty							
subhashita-beginner	перевоплощается	в сансаре			empty							
subhashita-beginner	перегоняя друг друга	из соперничества			empty							
subhashita-beginner	племен	входят			empty							
subhashita-beginner	по				empty							
subhashita-beginner	победить	от рождения			empty							
subhashita-beginner	погибли				empty							
subhashita-beginner	погибнет				empty							
subhashita-beginner	поглощается	перешагивать			empty							
subhashita-beginner	подняв	напряжением сил			empty							
subhashita-beginner	подобает				empty							
subhashita-beginner	поедает	начало			empty							
subhashita-beginner	поиски помощи	Саншрая			empty							
subhashita-beginner	попрекает	презрение			empty							
subhashita-beginner	попросил	просят			empty							
subhashita-beginner	посеяно	или			empty							
subhashita-beginner	последовательность	постепенно			empty							
subhashita-beginner	послушание	послушанием			empty							
subhashita-beginner	посовещавшись	совет			empty							
subhashita-beginner	потомство	потомство			empty							
subhashita-beginner	почва	кто			empty							
subhashita-beginner	почитают	почитает			empty							
subhashita-beginner	почтительно	смиренно			empty							
subhashita-beginner	поэт	поэт			empty							
subhashita-beginner	поэтому	поэтому			empty							
subhashita-beginner	правильно	она			empty							
subhashita-beginner	пребывает	стоят			empty							
subhashita-beginner	превосходит	особенно			empty							
subhashita-beginner	прибегаю				empty							
subhashita-beginner	приближающегося	срок жизни			empty							
subhashita-beginner	привлекут	происхождение			empty							
subhashita-beginner	привязанный	привязанность			empty							
subhashita-beginner	призывом				empty							
subhashita-beginner	прими				empty							
subhashita-beginner	принеси	жена			empty							
subhashita-beginner	приносить	помогают			empty							
subhashita-beginner	принял	принять			empty							
subhashita-beginner	приплясывая				empty							
subhashita-beginner	причина	причина			empty							
subhashita-beginner	пришел				empty							
subhashita-beginner	произнося				empty							
subhashita-beginner	происходила	поведение			empty							
subhashita-beginner	проклял	проклинает			empty							
subhashita-beginner	пронзил	при разрывании			empty							
subhashita-beginner	просим	который			empty							
subhashita-beginner	прославленный				empty							
subhashita-beginner	простить	терпеливый			empty							
subhashita-beginner	противодействовать				empty							
subhashita-beginner	протянулся	эти			empty							
subhashita-beginner	пути				empty							
subhashita-beginner	путь	пути			empty							
subhashita-beginner	пчелы				empty							
subhashita-beginner	пьянящего	Мадира			empty							
subhashita-beginner	пять-шесть				empty							
subhashita-beginner	равнодушия				empty							
subhashita-beginner	радуются				empty							
subhashita-beginner	разгневался	гневались			empty							
subhashita-beginner	разгневанный	гневайся			empty							
subhashita-beginner	различные	различные			empty							
subhashita-beginner	раскрывающийся				empty							
subhashita-beginner	расположились	проник			empty							
subhashita-beginner	река	река			empty							
subhashita-beginner	решив	определенно			empty							
subhashita-beginner	род	в роду			empty							
subhashita-beginner	родила	свою			empty							
subhashita-beginner	родился	в рожденном			empty							
subhashita-beginner	родственники	родственников			empty							
subhashita-beginner	рождение	рождение			empty							
subhashita-beginner	руки	в руках			empty							
subhashita-beginner	с	с			empty							
subhashita-beginner	с бритой головой				empty							
subhashita-beginner	самана	общем			empty							
subhashita-beginner	самая последняя				empty							
subhashita-beginner	сандалом	сандаловой мазью			empty							
subhashita-beginner	сверкает	царь			empty							
subhashita-beginner	свой	свой			empty							
subhashita-beginner	свой долг	своей дхарме			empty							
subhashita-beginner	связано	не			empty							
subhashita-beginner	связь				empty							
subhashita-beginner	сделал	дела			empty							
subhashita-beginner	сегодня	сегодня			empty							
subhashita-beginner	семя	семя			empty							
subhashita-beginner	сердце	в сердце			empty							
subhashita-beginner	сестра				empty							
subhashita-beginner	сжигает	сгорела			empty							
subhashita-beginner	скажи	наставлению			empty							
subhashita-beginner	сказал				empty							
subhashita-beginner	склоняется	сгибают			empty							
subhashita-beginner	скорбит	скорбит			empty							
subhashita-beginner	слабый	подавленным			empty							
subhashita-beginner	слава	в славе			empty							
subhashita-beginner	сладкую	сладкую			empty							
subhashita-beginner	слепцу				empty							
subhashita-beginner	служит	служением			empty							
subhashita-beginner	смеясь				empty							
subhashita-beginner	смилуйся	очищается			empty							
subhashita-beginner	снова	снова			empty							
subhashita-beginner	совершай	совершает			empty							
subhashita-beginner	совершил				empty							
subhashita-beginner	согласно правилу	согласно правилу			empty							
subhashita-beginner	соединившись	сочетается			empty							
subhashita-beginner	созревание				empty							
subhashita-beginner	сосредоточить	сосредоточить			empty							
subhashita-beginner	сотворил	творение			empty							
subhashita-beginner	союзником	запряженной			empty							
subhashita-beginner	спит	уснувшего			empty							
subhashita-beginner	способен	возможно			empty							
subhashita-beginner	стареет	старость			empty							
subhashita-beginner	сто				empty							
subhashita-beginner	стороны	месте			empty							
subhashita-beginner	страдают	слабости			empty							
subhashita-beginner	стремится	проведем			empty							
subhashita-beginner	стыдливая				empty							
subhashita-beginner	счастлив	счастье			empty							
subhashita-beginner	считаю	ум			empty							
subhashita-beginner	сын	сыном			empty							
subhashita-beginner	так	так			empty							
subhashita-beginner	также	также			empty							
subhashita-beginner	такое	такое			empty							
subhashita-beginner	такой	против			empty							
subhashita-beginner	там	там			empty							
subhashita-beginner	тело	телом			empty							
subhashita-beginner	тиртхе	тиртхе			empty							
subhashita-beginner	только	только			empty							
subhashita-beginner	тонкие	тонкое			empty							
subhashita-beginner	трава				empty							
subhashita-beginner	третий	третья			empty							
subhashita-beginner	три	трех			empty							
subhashita-beginner	тщетными	напрасными			empty							
subhashita-beginner	ты	в тебе			empty							
subhashita-beginner	тысяч	тысячи			empty							
subhashita-beginner	у кого побежденные привязанности и пороки	вечером			empty							
subhashita-beginner	убит	убивается			empty							
subhashita-beginner	увидев	видны			empty							
subhashita-beginner	увлеченная, любовно танцует	враги			empty							
subhashita-beginner	увы	увы			empty							
subhashita-beginner	уединенном				empty							
subhashita-beginner	ум	мыслью			empty							
subhashita-beginner	умирает	смерть			empty							
subhashita-beginner	упал				empty							
subhashita-beginner	употребляется				empty							
subhashita-beginner	упражняется	навыкомъ			empty							
subhashita-beginner	услышав	слышит			empty							
subhashita-beginner	устанавливается	будут действенными			empty							
subhashita-beginner	ученик	ученик			empty							
subhashita-beginner	ученость				empty							
subhashita-beginner	функция				empty							
subhashita-beginner	хорошо	добродетельные			empty							
subhashita-beginner	хочу	считается			empty							
subhashita-beginner	хуже	затмивший			empty							
subhashita-beginner	цари	царям			empty							
subhashita-beginner	царь				empty							
subhashita-beginner	царь зверей	царь зверей			empty							
subhashita-beginner	цветами	доброжелательны			empty							
subhashita-beginner	целует				empty							
subhashita-beginner	человек	люди			empty							
subhashita-beginner	через	через			empty							
subhashita-beginner	четыре	четыре			empty							
subhashita-beginner	чистый	очищение			empty							
subhashita-beginner	читает				empty							
subhashita-beginner	что	которого			empty							
subhashita-beginner	чувства	чувства			empty							
subhashita-beginner	шастры	наставления			empty							
subhashita-beginner	шкуры	шкуры лани			empty							
subhashita-beginner	шпионов				empty							
subhashita-beginner	щеки	щеки			empty							
subhashita-beginner	эти	тебе			empty							
subhashita-beginner	это	это			empty							
subhashita-beginner	я	от меня			empty							
subhashita-beginner	язык	язык			empty							
